suite	task_id	axis	difficulty
libero_10	0	Background Textures	4
libero_10	1	Background Textures	3
libero_10	2	Background Textures	3
libero_10	3	Background Textures	4
libero_10	4	Background Textures	5
libero_10	5	Background Textures	4
libero_10	6	Background Textures	3
libero_10	7	Background Textures	4
libero_10	8	Background Textures	3
libero_10	9	Background Textures	4
libero_10	10	Background Textures	4
libero_10	11	Background Textures	1
libero_10	12	Background Textures	4
libero_10	13	Background Textures	3
libero_10	14	Background Textures	4
libero_10	15	Background Textures	2
libero_10	16	Background Textures	4
libero_10	17	Background Textures	4
libero_10	18	Background Textures	2
libero_10	19	Background Textures	2
libero_10	20	Background Textures	3
libero_10	21	Background Textures	4
libero_10	22	Background Textures	3
libero_10	23	Background Textures	4
libero_10	24	Background Textures	5
libero_10	25	Background Textures	3
libero_10	26	Background Textures	4
libero_10	27	Background Textures	3
libero_10	28	Background Textures	4
libero_10	29	Background Textures	4
libero_10	30	Background Textures	4
libero_10	31	Background Textures	4
libero_10	32	Background Textures	4
libero_10	33	Background Textures	5
libero_10	34	Background Textures	4
libero_10	35	Background Textures	3
libero_10	36	Background Textures	5
libero_10	37	Background Textures	4
libero_10	38	Background Textures	5
libero_10	39	Background Textures	4
libero_10	40	Background Textures	4
libero_10	41	Background Textures	4
libero_10	42	Background Textures	3
libero_10	43	Background Textures	5
libero_10	44	Background Textures	4
libero_10	45	Background Textures	5
libero_10	46	Background Textures	5
libero_10	47	Background Textures	5
libero_10	48	Background Textures	4
libero_10	49	Background Textures	5
libero_10	50	Background Textures	4
libero_10	51	Background Textures	3
libero_10	52	Background Textures	2
libero_10	53	Background Textures	5
libero_10	54	Background Textures	5
libero_10	55	Background Textures	5
libero_10	56	Background Textures	3
libero_10	57	Background Textures	3
libero_10	58	Background Textures	4
libero_10	59	Background Textures	4
libero_10	60	Background Textures	4
libero_10	61	Background Textures	4
libero_10	62	Background Textures	3
libero_10	63	Background Textures	4
libero_10	64	Background Textures	3
libero_10	65	Background Textures	3
libero_10	66	Background Textures	3
libero_10	67	Background Textures	4
libero_10	68	Background Textures	5
libero_10	69	Background Textures	3
libero_10	70	Background Textures	4
libero_10	71	Background Textures	4
libero_10	72	Background Textures	5
libero_10	73	Background Textures	5
libero_10	74	Background Textures	3
libero_10	75	Background Textures	4
libero_10	76	Background Textures	3
libero_10	77	Background Textures	3
